trigger_number,Ep,E_Ep,e_Ep,z,E_z,e_z,Lum,E_Lum,e_Lum
3488,321.8,28.9,32.3,5.28,1.23,1.99,9.57E+53,4.45E+53,1.05E+54
3489,327.7,10,10.4,6.81,0.69,0.83,1.54E+54,3.40E+53,4.70E+53
3491,221.8,12.4,13.3,0.9,0.07,0.07,4.19E+52,7.10E+51,8.80E+51
3503,106.1,22.6,19.3,10.57,6.03,18.64,3.54E+53,3.04E+53,3.02E+54
3511,45,19.7,13.2,1.39,0.76,0.76,2.72E+51,2.32E+51,5.18E+51
3512,223.2,12.4,13.6,2.36,0.24,0.3,1.32E+53,3.10E+52,4.40E+52
3514,128.6,42.5,33.5,5.49,3.36,8.53,1.63E+53,1.46E+53,1.23E+54
3516,261.3,37,40.7,10.12,4.42,12.66,1.98E+54,1.45E+54,1.01E+55
3523,642.5,8.5,8.6,1.58,0.03,0.03,6.46E+53,3.40E+52,3.60E+52
3527,215.1,50.9,54.4,9.69,5.73,31.81,1.24E+54,1.08E+54,2.95E+55
3567,108.6,9.1,21.7,6.55,1.59,7.85,1.58E+53,7.50E+52,7.89E+53
3569,216.1,36.6,47.8,3.11,0.98,2.13,1.85E+53,1.11E+53,4.52E+53
3588,60.2,31.9,28.2,1.24,0.77,1.12,4.27E+51,3.86E+51,1.65E+52
3598,235.5,16.2,17.5,6.77,1.41,2.13,7.85E+53,3.29E+53,6.86E+53
3608,44.8,27.4,24.9,0.61,0.4,0.47,1.22E+51,1.12E+51,3.73E+51
3618,252.9,12.3,12.9,7.18,1.14,1.52,1.00E+54,3.30E+53,5.50E+53
3634,254.8,34.3,40.1,6.83,2.47,5.83,9.35E+53,6.07E+53,2.88E+54
3637,164.9,10.1,11.2,7.49,1.49,2.29,4.60E+53,1.85E+53,3.86E+53
3648,199,7.2,7.4,3.88,0.34,0.39,2.21E+53,4.30E+52,5.70E+52
3649,239.7,20.1,21,6.28,1.5,2.28,7.14E+53,3.36E+53,7.42E+53
3658,247.2,5.7,5.9,1.65,0.06,0.07,1.00E+53,9.00E+51,1.00E+52
3662,224,13.6,15.6,1.91,0.2,0.25,9.96E+52,2.31E+52,3.47E+52
3663,197.2,19.1,22.1,2.86,0.54,0.8,1.36E+53,5.40E+52,1.09E+53
3664,79.4,4.4,6.2,2.37,0.24,0.39,1.67E+52,3.90E+51,7.50E+51
3765,298.1,5.6,5.7,1.27,0.04,0.04,1.08E+53,7.00E+51,8.00E+51
3776,180,6.9,7.6,2.5,0.18,0.22,9.31E+52,1.58E+52,2.14E+52
3788,204.8,5.5,5.7,2.14,0.1,0.11,9.70E+52,1.12E+52,1.31E+52
3811,55.6,2.1,1.8,1.22,0.07,0.06,3.58E+51,4.60E+50,4.40E+50
3815,46.3,11.3,11.8,0.87,0.26,0.32,1.77E+51,1.02E+51,2.06E+51
3843,193.6,29.4,10.1,7.56,3.1,1.69,6.45E+53,4.56E+53,3.79E+53
3866,310.7,41.3,61.4,10.15,4.25,20.01,2.81E+54,2.00E+54,2.87E+55
3869,77.7,47.3,41.5,1.63,1.16,2.22,9.76E+51,9.29E+51,6.84E+52
3870,135.8,19.2,30.6,0.66,0.11,0.19,1.19E+52,4.20E+51,1.04E+52
3875,77.3,4.8,4.6,1.48,0.14,0.15,8.60E+51,1.88E+51,2.24E+51
3879,95.6,18.3,16.2,2.75,0.91,1.21,3.01E+52,1.89E+52,4.20E+52
3886,160.4,33.7,44.7,5.81,2.72,11.06,2.80E+53,2.17E+53,2.87E+54
3890,104.2,20.5,19.9,10.72,5.87,21.12,3.50E+53,2.94E+53,3.55E+54
3891,216.2,10.5,11.4,1.25,0.09,0.1,5.57E+52,9.10E+51,1.16E+52
3892,32.4,18.4,31.4,0.58,0.35,0.86,6.13E+50,5.44E+50,5.08E+51
3893,168.7,3.7,3.8,4.53,0.27,0.29,2.05E+53,2.80E+52,3.30E+52
3900,87.83,17.4,116,1.11,8.75,5.13,8.09e5114,5.04E+52,5.04E+53
3905,228.8,14.3,15.6,3.77,0.54,0.72,2.80E+53,8.70E+52,1.43E+53
3906,120.3,9.2,9.9,3.73,0.64,0.87,7.59E+52,2.76E+52,4.90E+52
3909,58.2,25.3,26.9,1.03,0.53,0.82,3.29E+51,2.71E+51,1.05E+52
3912,198,16.2,17.6,4.39,0.87,1.25,2.67E+53,1.09E+53,2.14E+53
3916,101.8,26.8,28.5,5,2.59,7.95,8.74E+52,7.21E+52,6.87E+53
3918,273.7,17.5,19.2,7.99,1.7,2.65,1.42E+54,6.00E+53,1.31E+54
3929,274.9,11.2,12,4.13,0.42,0.51,4.67E+53,1.05E+53,1.49E+53
3930,512.1,11.9,12.3,5.61,0.39,0.44,2.69E+54,4.20E+53,5.20E+53
3936,182.9,6.2,6.5,2.78,0.19,0.22,1.12E+53,1.80E+52,2.30E+52
3954,304.9,13.4,13.9,2.4,0.2,0.23,2.51E+53,4.80E+52,6.20E+52
4048,355.9,18.6,20.1,6.95,1.15,1.62,1.88E+54,6.50E+53,1.16E+54
4157,85.3,5,6.4,2.37,0.26,0.38,1.94E+52,4.80E+51,8.30E+51
4216,56.9,15.7,10.9,0.9,0.3,0.25,2.75E+51,1.73E+51,2.23E+51
4312,109.6,10.1,10.4,0.98,0.12,0.13,1.11E+52,3.00E+51,4.00E+51
4350,85.2,19.6,27.9,1.05,0.3,0.55,7.13E+51,4.06E+51,1.32E+52
4556,264.1,6.1,6.6,1.55,0.06,0.06,1.07E+53,9.00E+51,1.10E+52
4701,238.2,7.8,8.1,3.76,0.3,0.34,3.02E+53,5.40E+52,6.80E+52
4710,99,5.3,5,1.02,0.07,0.07,9.33E+51,1.59E+51,1.72E+51
4814,217.4,37.2,28.3,7.76,3.49,5.63,8.51E+53,6.40E+53,2.08E+54
5080,43.2,2.3,2.7,0.89,0.06,0.08,1.57E+51,2.50E+50,3.50E+50
5304,471.7,17,17.9,3.33,0.27,0.31,9.77E+53,1.79E+53,2.34E+53
5389,182.7,8,8.5,3.95,0.42,0.51,1.92E+53,4.50E+52,6.40E+52
5415,125.3,11.3,13.6,7.16,1.92,3.77,2.45E+53,1.27E+53,3.99E+53
5416,117.2,16.4,17.7,10.91,4.86,13.97,4.57E+53,3.38E+53,2.40E+54
5417,176.6,8.9,9.6,1.35,0.1,0.11,4.05E+52,7.10E+51,9.00E+51
5419,97.2,30.3,52.8,1.56,0.65,2.09,1.45E+52,1.07E+52,9.93E+52
5428,73.5,14.6,6.9,2.67,0.91,0.58,1.70E+52,1.08E+52,1.03E+52
5429,78.1,29.7,21.6,1.12,0.52,0.51,6.45E+51,5.04E+51,9.68E+51
5433,194.6,14.1,14.9,6.78,1.48,2.21,5.38E+53,2.34E+53,4.89E+53
5434,97.9,29,28.3,8.66,5.6,33.64,2.10E+53,1.92E+53,6.81E+54
5439,266,34,45.5,4.66,1.38,3.18,5.32E+53,3.01E+53,1.25E+54
5447,37.9,2.6,18.6,0.51,0.04,0.32,7.70E+50,1.36E+50,1.75E+51
5451,193.1,7.3,7.6,5.1,0.54,0.65,3.25E+53,7.50E+52,1.05E+53
5463,103,25.5,10.1,8.68,5.1,4.71,2.33E+53,2.04E+53,3.89E+53
5472,133.6,23.1,26.6,6.23,2.61,7.01,2.19E+53,1.58E+53,1.00E+54
5474,37.4,2.9,2.7,1.21,0.13,0.13,1.60E+51,3.90E+50,4.70E+50
5476,167.4,26.2,30.5,6.6,2.63,6.83,3.80E+53,2.64E+53,1.53E+54
5477,1456.8,50.2,73.8,5.46,0.55,0.95,2.08E+55,4.60E+54,9.40E+54
5478,178.2,10.3,9.9,5.81,0.97,1.17,3.45E+53,1.20E+53,1.83E+53
5479,170.8,21.2,23.3,3.86,1.03,1.68,1.62E+53,8.50E+52,2.17E+53
5486,262.4,8,8.4,2.2,0.12,0.14,1.66E+53,2.20E+52,2.60E+52
5489,312,8,8.2,3.62,0.22,0.24,4.88E+53,6.80E+52,8.20E+52
5493,91.6,45.7,40.2,5.53,4.22,30.71,8.40E+52,8.13E+52,5.57E+54
5504,91.7,33.5,44.8,1.82,0.9,2.41,1.57E+52,1.27E+52,1.04E+53
5508,76.2,11.4,11.9,3.96,1.24,2.1,3.35E+52,1.99E+52,5.72E+52
5515,91.8,50.5,63.6,2.57,1.82,10.82,2.52E+52,2.39E+52,1.15E+54
5517,138.7,24.8,31.5,3.31,1.12,2.47,8.37E+52,5.27E+52,2.29E+53
5518,163.3,13.9,15.6,5.54,1.26,2.03,2.67E+53,1.22E+53,2.84E+53
5523,135.2,20.2,21.5,2.26,0.57,0.81,4.57E+52,2.32E+52,4.99E+52
5530,71.3,5.6,5.8,1.09,0.12,0.13,5.23E+51,1.27E+51,1.67E+51
5531,131.9,16.2,16.9,5.99,1.91,3.41,1.99E+53,1.18E+53,3.63E+53
5539,112.2,18,15.7,4.73,1.69,2.48,9.70E+52,6.29E+52,1.62E+53
5541,145.7,28.3,31.2,9.15,4.74,18.6,5.12E+53,4.18E+53,5.55E+54
5542,219.5,7.5,7.9,5.63,0.57,0.69,4.97E+53,1.10E+53,1.54E+53
5548,165.2,18.1,20.8,1.84,0.32,0.44,5.15E+52,1.94E+52,3.59E+52
5551,68.1,11.6,24.4,2.04,0.56,1.91,1.01E+52,5.40E+51,3.91E+52
5563,184.1,9.9,10.5,1.16,0.09,0.1,3.72E+52,6.50E+51,8.20E+51
5567,359.8,8.3,8.5,1.86,0.07,0.08,2.48E+53,2.30E+52,2.60E+52
5568,509.3,18.5,19.6,2.71,0.2,0.23,8.38E+53,1.42E+53,1.81E+53
5571,147,49.2,62.6,3.02,1.59,5.6,8.19E+52,6.87E+52,8.71E+53
5572,189.6,20.4,18.3,2.95,0.62,0.71,1.31E+53,5.70E+52,8.80E+52
5575,215.6,16,16.9,2.94,0.44,0.56,1.69E+53,5.50E+52,8.70E+52
5585,153.2,38.1,29.1,7,3.88,8.27,3.52E+53,2.99E+53,1.71E+54
5593,228.3,8.1,8.6,7.28,0.88,1.1,8.37E+53,2.15E+53,3.20E+53
5601,279.8,46.6,57.1,5,1.87,4.69,6.61E+53,4.44E+53,2.38E+54
5603,160.5,25.7,28.1,11.64,5.78,21.3,9.65E+53,7.65E+53,8.64E+54
5604,273.6,19.8,22.7,6.07,1.26,2.01,8.79E+53,3.68E+53,8.22E+53
5606,165.4,36.2,22.9,6.4,3.18,4.28,3.51E+53,2.82E+53,7.84E+53
5608,202.9,33.4,20.7,8.1,3.61,4.36,8.00E+53,5.97E+53,1.33E+54
5621,259.1,8.1,8.6,1.07,0.05,0.05,6.74E+52,7.10E+51,8.00E+51
5624,226.4,44.2,49.5,8.18,4.1,14.98,1.01E+54,8.10E+53,9.41E+54
5628,237.4,12,12.6,2.71,0.27,0.32,1.82E+53,4.10E+52,5.70E+52
5637,154.4,47.9,82.1,4.53,2.54,29.95,1.71E+53,1.47E+53,1.63E+55
5640,69.7,10,11,3.82,1.14,1.96,2.65E+52,1.52E+52,4.38E+52
5644,301.9,14.9,16.2,3.32,0.36,0.45,3.98E+53,9.60E+52,1.41E+53
5645,101.3,50.6,36.2,3.38,2.36,5.2,4.62E+52,4.37E+52,3.60E+53
5654,255.1,4.6,4.7,3.98,0.18,0.2,3.79E+53,4.00E+52,4.60E+52
5655,74.3,32.8,41.8,2.87,1.81,8.85,1.94E+52,1.77E+52,4.93E+53
5667,136.4,29.3,45.5,4.02,1.68,6.74,1.10E+53,8.00E+52,9.63E+53
5697,50.4,6.6,6.8,0.34,0.05,0.05,1.07E+51,3.20E+50,4.20E+50
5704,175.5,7.7,8.2,1.01,0.06,0.07,2.91E+52,4.10E+51,4.80E+51
5706,155.6,74.3,51.6,5.32,3.94,12.92,2.27E+53,2.18E+53,3.50E+54
5711,487.4,17.6,18.4,1.95,0.12,0.14,4.85E+53,7.10E+52,8.70E+52
5713,41,13.8,20.1,1.24,0.53,1.19,1.98E+51,1.48E+51,8.35E+51
5719,186.5,38.3,45.8,7.8,3.97,17.1,6.32E+53,5.11E+53,7.86E+54
5726,113.7,8.1,8.5,1.51,0.16,0.19,1.90E+52,4.70E+51,6.40E+51
5729,86,8.3,14.5,1.55,0.23,0.47,1.13E+52,3.60E+51,1.03E+52
5731,175.8,20.7,36.9,6.33,2,7.92,3.90E+53,2.29E+53,2.08E+54
5773,182.9,1.7,1.7,1.05,0.01,0.01,3.30E+52,1.00E+51,1.10E+51
5867,207.1,29.4,31,8.83,3.67,9,9.74E+53,6.92E+53,3.75E+54
5989,40.3,10.9,11.5,0.15,0.04,0.05,5.07E+50,2.58E+50,3.96E+50
5995,706.5,8.3,8.5,4.62,0.15,0.16,3.70E+54,2.80E+53,3.10E+53
6004,48.1,32,33.3,1,0.73,1.33,2.17E+51,2.07E+51,1.51E+52
6082,63.2,9.4,3.1,1.79,0.41,0.16,7.28E+51,3.44E+51,1.64E+51
6083,100.6,3.8,7,3.42,0.3,0.63,4.64E+52,9.00E+51,2.29E+52
6090,165.7,20.4,23.8,3.82,1.01,1.76,1.50E+53,7.80E+52,2.16E+53
6098,113.7,16.4,19,5.91,2.13,4.81,1.45E+53,9.40E+52,4.23E+53
6100,562.1,10.7,10.9,3.21,0.14,0.15,1.32E+54,1.30E+53,1.50E+53
6113,155.5,18.8,21.2,2.12,0.43,0.61,5.53E+52,2.36E+52,4.69E+52
6124,405.4,7.3,7.4,1.58,0.05,0.05,2.58E+53,1.80E+52,1.90E+52
6128,38.4,5.7,4.4,0.91,0.17,0.14,1.26E+51,5.10E+50,5.50E+50
6141,89.8,38.9,62.5,2.14,1.24,6.58,1.86E+52,1.64E+52,4.95E+53
6147,85.8,6.3,3.3,3.59,0.59,0.35,3.64E+52,1.26E+52,9.10E+51
6152,130,84.6,62.3,4.74,3.99,24.61,1.31E+53,1.29E+53,7.87E+54
6159,76.3,13.1,3,1.74,0.45,0.12,1.02E+52,5.30E+51,1.80E+51
6167,59.6,6.5,11.7,2.29,0.44,1.07,9.02E+51,3.63E+51,1.37E+52
6186,45,25,52.8,0.9,0.56,2.48,1.72E+51,1.55E+51,4.14E+52
6190,88.9,27.5,48.6,2.48,1.17,5.7,2.24E+52,1.77E+52,3.51E+53
6194,136.2,18.4,19.5,4.39,1.33,2.24,1.26E+53,7.30E+52,2.05E+53
6198,361.4,9.8,11.5,0.91,0.03,0.04,1.12E+53,1.00E+52,1.20E+52
6206,46.6,3.9,3.6,0.9,0.1,0.1,1.84E+51,4.50E+50,5.10E+50
6216,108.4,7.4,15.9,3.3,0.49,1.39,5.09E+52,1.62E+52,6.62E+52
6222,51.9,28.5,25.1,1.62,1.07,1.9,4.34E+51,4.03E+51,2.41E+52
6226,206.1,38.6,24,6.74,3.08,3.73,5.98E+53,4.54E+53,1.04E+54
6235,388.5,11.2,11.7,3.77,0.26,0.3,8.04E+53,1.27E+53,1.60E+53
6241,98.9,34.1,20.3,1.88,0.89,0.8,1.90E+52,1.51E+52,2.62E+52
6266,208.1,70.6,66.1,3.14,1.69,3.68,1.74E+53,1.47E+53,9.03E+53
6272,61.9,1.4,1.2,1.22,0.04,0.04,4.41E+51,3.50E+50,3.30E+50
6273,113.5,31.6,31.6,5.96,3.37,11.7,1.47E+53,1.26E+53,1.57E+54
6274,184,8.9,9.6,1.11,0.07,0.08,3.52E+52,5.50E+51,6.90E+51
6280,121.3,18.3,24.7,4,1.27,3.03,8.63E+52,5.17E+52,2.37E+53
6285,41.4,27.4,13.6,1.12,0.82,0.62,1.81E+51,1.73E+51,3.50E+51
6288,32.1,3.4,28.4,0.54,0.07,0.69,5.72E+50,1.53E+50,3.69E+51
6295,84.5,5.9,7.1,1.6,0.17,0.23,1.13E+52,2.80E+51,4.50E+51
6303,194.1,11.3,12.2,4.06,0.57,0.74,2.26E+53,6.80E+52,1.09E+53
6304,128.8,48.4,33.3,7.01,4.87,14.7,2.49E+53,2.35E+53,2.93E+54
6309,33.1,21.9,43.6,0.95,0.68,3.4,9.75E+50,9.29E+50,3.84E+52
6315,99,9.5,10.4,2.67,0.48,0.66,3.10E+52,1.19E+52,2.17E+52
6317,88.8,39.6,30.1,5.85,4.26,17.28,8.68E+52,8.30E+52,1.85E+54
6319,113.4,42.4,36,7.39,5.19,27.7,2.13E+53,2.01E+53,6.61E+54
6320,72.7,23.6,13.8,1.23,0.5,0.38,6.17E+51,4.48E+51,5.79E+51
6321,154,12.3,13.3,3.02,0.49,0.65,8.98E+52,3.12E+52,5.31E+52
6322,83.8,19.6,21.6,1.47,0.47,0.71,1.01E+52,6.20E+51,1.64E+52
6323,95.3,13.6,11.1,5.61,1.96,2.68,9.33E+52,5.93E+52,1.37E+53
6329,229.8,5.5,5.7,3.16,0.17,0.18,2.14E+53,2.60E+52,3.10E+52
6335,147.9,11.7,13.1,2.25,0.32,0.41,5.41E+52,1.67E+52,2.74E+52
6344,59.1,33,47,1.13,0.72,2.02,3.70E+51,3.39E+51,4.17E+52
6349,111.9,54.9,79.4,2.16,1.38,7.11,2.94E+52,2.70E+52,8.78E+53
6351,45.8,6.5,5.4,0.95,0.17,0.16,1.87E+51,7.30E+50,8.50E+50
6353,281.4,47.3,43,10.2,5,12.43,2.33E+54,1.83E+54,1.15E+55
6369,56.5,29.3,35.2,1.8,1.15,3.52,5.85E+51,5.39E+51,7.28E+52
6397,198.7,5.3,5.5,2.39,0.12,0.13,1.07E+53,1.30E+52,1.50E+52
6399,36.5,21.3,43.4,0.81,0.52,2.04,1.03E+51,9.30E+50,2.12E+52
6404,175.5,5.1,5.2,0.96,0.04,0.04,2.77E+52,2.60E+51,2.80E+51
6405,85.7,18.1,28,4.31,1.83,7.57,4.86E+52,3.56E+52,4.54E+53
6413,61,10,9.6,0.93,0.19,0.21,3.25E+51,1.41E+51,2.09E+51
6422,68.4,1.4,1.5,0.7,0.02,0.02,3.17E+51,1.90E+50,2.20E+50
6436,156.5,43.4,47.3,2.05,0.84,1.52,5.35E+52,3.88E+52,1.50E+53
6440,47.7,10.4,12.5,0.72,0.18,0.25,1.57E+51,8.00E+50,1.72E+51
6453,118.1,6.4,6.8,1.61,0.14,0.16,2.22E+52,4.40E+51,5.80E+51
6472,470.2,42.2,46.2,3.18,0.59,0.82,9.06E+53,3.51E+53,6.57E+53
6489,123.9,1.4,1.4,3.95,0.12,0.12,8.81E+52,6.00E+51,6.50E+51
6504,154.8,4,4,1.67,0.07,0.07,4.00E+52,4.10E+51,4.40E+51
6521,133.4,25.7,24.3,7.15,3.39,8.07,2.78E+53,2.16E+53,1.26E+54
6522,98.1,83,21.4,1.47,1.31,0.59,1.38E+52,1.37E+52,1.76E+52
6523,92.4,27.5,58.6,1.48,0.59,2.4,1.23E+52,8.80E+51,1.15E+53
6525,349.9,36.6,25.2,10.19,3.6,4.18,3.60E+54,2.27E+54,4.21E+54
6528,222.4,15.3,16.1,7.83,1.76,2.66,9.04E+53,4.01E+53,8.56E+53
6531,66.2,5,4.7,3.13,0.49,0.55,1.76E+52,5.90E+51,8.30E+51
6538,48.6,10.1,6.9,0.83,0.21,0.16,1.86E+51,9.40E+50,1.01E+51
6539,310.4,76.9,64.2,4.1,1.92,3.26,5.89E+53,4.59E+53,1.71E+54
6546,73.6,3.6,3.6,1.55,0.12,0.13,8.30E+51,1.48E+51,1.75E+51
6552,36.7,22.8,15,1.05,0.72,0.73,1.32E+51,1.25E+51,3.50E+51
6554,69.3,9.8,10.8,1.71,0.37,0.5,8.26E+51,3.72E+51,7.24E+51
6560,177.9,3.9,4,2.46,0.11,0.11,8.89E+52,9.00E+51,1.02E+52
6564,117,17.5,21.3,5.79,2.12,5.26,1.48E+53,9.80E+52,5.04E+53
6578,107.2,60.7,54.3,3.77,2.88,14.34,6.12E+52,5.94E+52,2.17E+54
6582,69.6,47.9,53.9,1.72,1.35,4.83,8.42E+51,8.21E+51,1.96E+53
6583,90.4,4.2,4.9,6.67,0.98,1.45,1.13E+53,3.50E+52,6.40E+52
6585,48.2,28.4,41.4,0.81,0.52,1.25,1.78E+51,1.63E+51,1.58E+52
6587,326.5,4.6,4.4,1.07,0.02,0.02,1.07E+53,5.00E+51,5.00E+51
6593,261.4,5.6,5.7,2.4,0.1,0.11,1.86E+53,1.80E+52,2.00E+52
6598,73.2,8.6,24.2,1.9,0.36,1.5,1.06E+52,4.20E+51,3.25E+52
6601,39.3,22.5,49.2,0.82,0.52,2.28,1.20E+51,1.09E+51,2.98E+52
6605,117.9,8.6,8.9,2.86,0.42,0.51,4.86E+52,1.54E+52,2.35E+52
6610,72.4,4.4,5.5,1.95,0.2,0.28,1.07E+52,2.50E+51,4.20E+51
6611,112.3,25.8,43.5,3.5,1.47,6.53,5.98E+52,4.37E+52,6.33E+53
6621,115.4,10.9,13.2,0.97,0.12,0.16,1.22E+52,3.40E+51,5.50E+51
6625,81.7,7.4,7.9,2.18,0.34,0.43,1.58E+52,5.40E+51,8.80E+51
6629,419.2,77.4,95.7,8.69,4.29,18.91,3.87E+54,3.07E+54,4.70E+55
6630,288.4,5.2,5.3,1.9,0.06,0.06,1.65E+53,1.20E+52,1.40E+52
6631,92.7,33.5,35.2,2.74,1.49,3.71,2.83E+52,2.41E+52,1.85E+53
6641,42.5,21.3,42,0.91,0.52,1.89,1.55E+51,1.34E+51,2.27E+52
6649,87.1,33.8,21.9,6.65,4.64,12.29,1.04E+53,9.80E+52,1.00E+54
6657,93.8,41.7,34.2,3.03,1.93,4.28,3.36E+52,3.07E+52,2.32E+53
6666,88.5,49,42,4.82,3.78,25.14,6.23E+52,6.08E+52,3.77E+54
6672,116.2,15.4,15.9,1.35,0.26,0.31,1.75E+52,7.10E+51,1.14E+52
6683,188.3,14.9,15.7,5.4,1.14,1.65,3.41E+53,1.46E+53,2.92E+53
6762,129.6,39,36.7,6.31,3.8,13.92,2.11E+53,1.87E+53,2.72E+54
6763,155,21.2,32.4,3.54,0.99,2.5,1.16E+53,6.30E+52,2.92E+53
6767,88.9,46.3,32.7,3.86,2.83,7.4,4.38E+52,4.21E+52,4.78E+53
6802,123.1,40.8,36.1,3.6,1.97,4.26,7.51E+52,6.42E+52,3.91E+53
6814,197.6,23.8,28,4.19,1.13,2.03,2.47E+53,1.30E+53,3.76E+53
6816,85.3,6.9,3.5,0.87,0.09,0.05,5.97E+51,1.39E+51,8.40E+50
6830,93.6,18.1,28,7.36,3.53,23.36,1.43E+53,1.12E+53,3.34E+54
6877,143.8,12.6,11.2,7.44,1.99,2.66,3.46E+53,1.78E+53,3.48E+53
6882,44.7,50.1,35.8,1.14,1.04,2.09,2.15E+51,2.14E+51,2.51E+52
6892,196.8,61.2,58,5.42,3.19,10.52,3.74E+53,3.30E+53,3.99E+54
6904,1206,31.5,32.8,4.14,0.28,0.31,9.03E+54,1.36E+54,1.69E+54
6917,153,29.3,27.7,2.27,0.71,0.95,5.86E+52,3.51E+52,7.77E+52
6930,100.4,6.9,7.4,1.02,0.09,0.11,9.70E+51,2.04E+51,2.72E+51
6963,199.3,29.7,36.8,1.05,0.2,0.29,3.91E+52,1.61E+52,3.27E+52
7012,300.4,4.9,5.1,1.64,0.04,0.05,1.48E+53,1.00E+52,1.00E+52
7028,208.2,17.8,20.7,1.07,0.12,0.16,4.38E+52,1.14E+52,1.74E+52
7030,52.2,23.8,29.4,1.25,0.69,1.48,3.24E+51,2.78E+51,1.85E+52
7087,197.3,48.7,57.4,7.14,3.96,20.09,6.05E+53,5.14E+53,1.15E+55
7207,136.8,31,41.7,7.23,3.82,23.49,2.98E+53,2.47E+53,7.23E+54
7209,81.9,13.7,37.1,1.56,0.38,1.61,1.03E+52,5.10E+51,4.74E+52
7213,72.5,31.4,19.3,3.6,2.35,3.68,2.61E+52,2.41E+52,1.10E+53
7228,175.8,21.6,26.8,3.22,0.79,1.4,1.29E+53,6.30E+52,1.75E+53
7230,190.1,27.8,37.4,10.08,4.49,19.57,1.04E+54,7.70E+53,1.04E+55
7240,612,98.1,101.8,11.48,5.68,18.71,1.37E+55,1.08E+55,1.03E+56
7250,134.6,11.1,12.3,3.3,0.57,0.8,7.85E+52,2.88E+52,5.33E+52
7255,240.5,21.8,23.5,3.98,0.82,1.19,3.37E+53,1.43E+53,2.85E+53
7263,41.9,31.6,54.3,0.81,0.64,2.34,1.34E+51,1.31E+51,3.60E+52
7285,93.1,33.9,36.7,2.05,1.04,2.2,1.89E+52,1.56E+52,9.02E+52
7293,186.5,16.1,17.9,8.48,2.38,4.35,7.33E+53,3.89E+53,1.14E+54
7295,353.4,15.7,16.9,5.65,0.73,0.95,1.30E+54,3.60E+53,5.60E+53
7298,141.4,15.1,42.7,7.35,2.29,23.97,3.27E+53,1.90E+53,7.98E+54
7301,564.8,10.3,10.6,1.1,0.03,0.03,3.31E+53,2.00E+52,2.30E+52
7319,164.9,26.6,37.4,5.75,2.22,7.39,2.91E+53,1.98E+53,1.63E+54
7323,96.4,43.2,40.1,5.42,3.91,24.31,8.99E+52,8.57E+52,4.04E+54
7328,103.4,10.9,28.1,6.92,2.08,15.93,1.57E+53,8.90E+52,2.15E+54
7374,193.4,6.8,8.3,2.9,0.21,0.28,1.34E+53,2.20E+52,3.40E+52
7390,254.4,17.1,18.8,11.28,2.95,5.17,2.29E+54,1.14E+54,3.04E+54
7403,144.8,22.6,25.7,10.02,4.65,15.75,5.98E+53,4.56E+53,4.29E+54
7429,223.5,8.7,9.2,9.5,1.43,1.91,1.29E+54,4.00E+53,6.60E+53
7446,138.8,14.4,15.3,1.4,0.21,0.26,2.60E+52,8.60E+51,1.32E+52
7452,90.81,67.4,21.2,4.14,1.38,3.95,5.10E+52,3.16E+52,1.92E+53
7464,367.21,26.1,92.9,6.61,4.33,12.29,1.83E+54,1.69E+54,1.78E+55
7469,67.5,24.6,39.6,1.08,0.48,1.2,4.63E+51,3.52E+51,2.43E+52
7475,149.4,13.1,14.9,1.93,0.28,0.37,4.50E+52,1.44E+52,2.41E+52
7477,232.2,29.7,35.5,5.65,1.81,3.9,5.59E+53,3.34E+53,1.31E+54
7481,114.9,54.5,32.3,3.59,2.47,3.98,6.53E+52,6.14E+52,3.08E+53
7487,79.2,7,7.4,2.34,0.37,0.47,1.64E+52,5.60E+51,9.10E+51
7491,428.6,6,6.1,2.03,0.05,0.05,3.94E+53,2.40E+52,2.60E+52
7494,111,14.9,16.1,4.69,1.45,2.57,9.36E+52,5.46E+52,1.65E+53
7497,133,19.7,16,5.76,2.09,2.92,1.89E+53,1.24E+53,2.98E+53
7502,110.2,41.3,47,3.69,2.21,9,6.26E+52,5.57E+52,1.03E+54
7503,198.2,12.8,13.5,3.68,0.54,0.69,2.02E+53,6.40E+52,1.01E+53
7504,116.6,22.4,21.9,4.07,1.57,2.8,8.20E+52,5.65E+52,1.97E+53
7515,221.2,12,13,5.44,0.83,1.12,4.76E+53,1.53E+53,2.61E+53
7527,400.7,9.6,9.9,3.8,0.22,0.25,8.69E+53,1.16E+53,1.39E+53
7528,70.7,45.8,31.2,2.61,2.05,4.33,1.53E+52,1.49E+52,1.39E+53
7529,177.8,10.6,11.5,2.38,0.26,0.32,8.47E+52,2.10E+52,3.05E+52
7530,146.9,6.2,6.4,1.28,0.08,0.09,2.63E+52,3.80E+51,4.50E+51
7548,184.2,17.6,21.2,5.57,1.4,2.59,3.44E+53,1.70E+53,4.87E+53
7550,120.4,16.1,21.6,2.03,0.44,0.78,3.12E+52,1.42E+52,3.76E+52
7551,71.1,14.7,35,2.08,0.67,3.2,1.12E+52,6.90E+51,9.29E+52
7564,82.1,5.7,3.4,2.1,0.25,0.16,1.53E+52,4.10E+51,3.10E+51
7566,40.7,11.1,8.6,1.07,0.37,0.35,1.66E+51,1.07E+51,1.66E+51
7567,68.9,5.8,5.3,1.82,0.25,0.25,8.84E+51,2.66E+51,3.33E+51
7568,49.4,25.6,25.8,1.84,1.19,2.74,4.61E+51,4.25E+51,3.67E+52
