,id,GRB_name,GRB_name_Fermi,T0,T0_source,ra,ra_source,decl,decl_source,pos_error,pos_error_source,T90,T90_source,T90_error,T90_error_source,T90_start,T90_start_source,fluence,fluence_source,fluence_error,fluence_error_source,redshift,redshift_source,T100,GBM_located,mjd,mjd_source
6962,6963,GRB911027B*,,37906.560000000005,BATSE,127.22500000000001,BATSE,74.11666666666666,BATSE,5.78,BATSE,48.512,BATSE,3.353,BATSE,37906.560000000005,BATSE,3.5976e-07,BATSE,3.914608030186419e-08,BATSE,,,48.512,0,48556.438733333336,BATSE
6963,6964,GRB940823B*,,37876.384,BATSE,101.07499999999999,BATSE,12.233333333333333,BATSE,4.26,BATSE,49.248,BATSE,1.361,BATSE,37876.384,BATSE,1.10493e-06,BATSE,6.795874548577248e-08,BATSE,,,49.248,0,49587.43838407408,BATSE
6964,6965,GRB920330A*,,37984.9,BATSE,347.125,BATSE,-33.483333333333334,BATSE,7.37,BATSE,,,,,,,,,,,,,,0,48711.439640046294,BATSE
6965,6966,GRB980921A*,,38005.028,BATSE,202.475,BATSE,21.533333333333335,BATSE,4.16,BATSE,157.12,BATSE,21.121,BATSE,38005.028,BATSE,3.1929e-07,BATSE,1.821771039400945e-08,BATSE,,,157.12,0,51077.43987300926,BATSE
6966,6967,GRB990210B*,,38024.928,BATSE,36.875,BATSE,-28.466666666666665,BATSE,11.96,BATSE,9.664,BATSE,8.446,BATSE,38024.928,BATSE,2.21157e-07,BATSE,2.2348651570061222e-08,BATSE,,,9.664,0,51219.440103333334,BATSE
6967,6968,GRB940428A*,,38192.07,BATSE,347.75,BATSE,-1.5666666666666667,BATSE,2.57,BATSE,0.68,BATSE,0.018,BATSE,38192.07,BATSE,7.2693e-08,BATSE,5.477437473855818e-09,BATSE,,,0.68,0,49470.44203784722,BATSE
6968,6969,GRB910616A*,,38363.392,BATSE,356.725,BATSE,-1.2166666666666668,BATSE,3.85,BATSE,1.536,BATSE,0.091,BATSE,38363.392,BATSE,9.8322e-09,BATSE,1.1508265180729893e-08,BATSE,,,1.536,0,48423.44402074074,BATSE
6969,6970,GRB950531A*,,38385.044,BATSE,274.7,BATSE,17.783333333333335,BATSE,7.78,BATSE,3.52,BATSE,0.771,BATSE,38385.044,BATSE,4.6488e-07,BATSE,2.045898413900358e-08,BATSE,,,3.52,0,49868.444271342596,BATSE
6970,6971,GRB990616A*,,38348.5,BATSE,84.225,BATSE,4.75,BATSE,1.66,BATSE,151.36,BATSE,23.896,BATSE,38348.5,BATSE,2.0502e-06,BATSE,1.4212689311667937e-07,BATSE,,,151.36,0,51345.44384837963,BATSE
6971,6972,GRB910805A*,,38477.92,BATSE,313.27500000000003,BATSE,-51.3,BATSE,3.78,BATSE,18.176,BATSE,1.448,BATSE,38477.92,BATSE,6.3054e-07,BATSE,3.682859632133704e-08,BATSE,,,18.176,0,48473.4453462963,BATSE
6972,6973,GRB911124A*,,38512.2,BATSE,320.925,BATSE,36.96666666666667,BATSE,3.11,BATSE,,,,,,,1.06428e-06,BATSE,4.619033093624682e-08,BATSE,,,,0,48584.445743055556,BATSE
6973,6974,GRB931205A*,,38575.8,BATSE,247.12499999999997,BATSE,-43.95,BATSE,3.28,BATSE,,,,,,,,,,,,,,0,49326.44647916667,BATSE
6974,6975,GRB940129A*,,38597.8,BATSE,127.45,BATSE,28.583333333333332,BATSE,0.82,BATSE,6.976,BATSE,0.707,BATSE,38597.864,BATSE,6.8694e-07,BATSE,4.1072120799880784e-08,BATSE,,,7.04,0,49381.4467337963,BATSE
6975,6976,GRB940120A*,,38574.736,BATSE,101.5,BATSE,-35.5,BATSE,3.57,BATSE,55.136,BATSE,3.43,BATSE,38574.736,BATSE,9.5949e-07,BATSE,3.708840394247237e-08,BATSE,,,55.136,0,49372.44646685185,BATSE
6976,6977,GRB950206A*,,38622.88,BATSE,69.6,BATSE,-14.45,BATSE,3.94,BATSE,31.84,BATSE,1.361,BATSE,38622.88,BATSE,7.3629e-07,BATSE,3.832682026988412e-08,BATSE,,,31.84,0,49754.44702407408,BATSE
6977,6978,GRB970328B*,,38642.4,BATSE,116.8,BATSE,41.78333333333333,BATSE,2.04,BATSE,,,,,,,,,,,,,,0,50535.44725,BATSE
6978,6979,GRB940816A*,,38681.28,BATSE,198.29999999999998,BATSE,-29.616666666666667,BATSE,3.98,BATSE,13.088,BATSE,1.056,BATSE,38681.28,BATSE,1.73727e-06,BATSE,5.2617971483134916e-08,BATSE,,,13.088,0,49580.4477,BATSE
6979,6980,GRB960710A*,,38686.636,BATSE,346.475,BATSE,-30.666666666666668,BATSE,5.35,BATSE,0.048,BATSE,0.011,BATSE,38686.636,BATSE,1.61799e-08,BATSE,1.9473447229496888e-09,BATSE,,,0.048,0,50274.44776199074,BATSE
6980,6981,GRB970214A*,,38784.7,BATSE,339.8,BATSE,15.75,BATSE,0.71,BATSE,6.08,BATSE,0.202,BATSE,38784.7,BATSE,1.14663e-06,BATSE,3.0879001797337946e-08,BATSE,,,6.08,0,50493.44889699074,BATSE
6981,6982,GRB970714B*,,38817.536,BATSE,6.300000000000001,BATSE,-29.333333333333332,BATSE,2.79,BATSE,1.984,BATSE,0.834,BATSE,38817.536,BATSE,4.1274e-08,BATSE,5.84238057901058e-09,BATSE,,,1.984,0,50643.449277037034,BATSE
6982,6983,GRB910517A*,,38926.56,BATSE,113.575,BATSE,49.166666666666664,BATSE,3.64,BATSE,62.656,BATSE,1.548,BATSE,38926.56,BATSE,4.4115e-08,BATSE,1.1340775867637981e-08,BATSE,,,62.656,0,48393.45053888889,BATSE
6983,6984,GRB951124B*,,38933.008,BATSE,117.175,BATSE,-43.36666666666667,BATSE,15.48,BATSE,0.132,BATSE,0.029,BATSE,38933.008,BATSE,1.85841e-09,BATSE,1.7169992860511038e-09,BATSE,,,0.132,0,50045.45061351852,BATSE
6984,6985,GRB930305B*,,38956.268,BATSE,96.45,BATSE,11.75,BATSE,3.98,BATSE,0.951,BATSE,0.322,BATSE,38956.268,BATSE,2.13681e-08,BATSE,5.569062961576211e-09,BATSE,,,0.951,0,49051.45088273148,BATSE
6985,6986,GRB991005B*,,38960.88,BATSE,342.325,BATSE,6.2,BATSE,3.62,BATSE,144.64,BATSE,2.347,BATSE,38960.88,BATSE,8.041500000000001e-06,BATSE,1.3412828248732628e-07,BATSE,,,144.64,0,51456.45093611111,BATSE
6986,6987,GRB940713A*,,38980.020000000004,BATSE,148.925,BATSE,10.9,BATSE,6.8,BATSE,43.2,BATSE,4.25,BATSE,38980.020000000004,BATSE,6.376799999999999e-07,BATSE,3.693771552221387e-08,BATSE,,,43.2,0,49546.45115763889,BATSE
6987,6988,GRB950120A*,,38956.708,BATSE,197.375,BATSE,36.46666666666667,BATSE,2.75,BATSE,38.432,BATSE,7.232,BATSE,38956.708,BATSE,2.6106299999999996e-07,BATSE,3.261624875732952e-08,BATSE,,,38.432,0,49737.450887824074,BATSE
6988,6989,GRB961224C*,,38952.632000000005,BATSE,11.925,BATSE,41.13333333333333,BATSE,6.45,BATSE,39.936,BATSE,1.69,BATSE,38952.632000000005,BATSE,1.20255e-06,BATSE,8.502983824517133e-08,BATSE,,,39.936,0,50441.45084064815,BATSE
6989,6990,GRB990824B*,,39032.8,BATSE,325.975,BATSE,35.833333333333336,BATSE,9.57,BATSE,,,,,,,5.7528e-09,BATSE,5.37490006604774e-09,BATSE,,,,0,51414.45176851852,BATSE
6990,6991,GRB980714B*,,39081.7,BATSE,282.8,BATSE,58.916666666666664,BATSE,3.3,BATSE,,,,,,,,,,,,,,0,51008.45233449074,BATSE
6991,6992,GRB951202A*,,39100.1,BATSE,328.05,BATSE,-35.766666666666666,BATSE,0.62,BATSE,28.544,BATSE,4.033,BATSE,39100.996,BATSE,3.6425999999999996e-06,BATSE,3.529226725502344e-08,BATSE,,,29.44,0,50053.4525474537,BATSE
6992,6993,GRB990425B*,,39146.204000000005,BATSE,58.8,BATSE,-42.13333333333333,BATSE,6.15,BATSE,39.296,BATSE,4.409,BATSE,39146.204000000005,BATSE,5.064900000000001e-07,BATSE,3.975576218612844e-08,BATSE,,,39.296,0,51293.453081064814,BATSE
6993,6994,GRB910719A*,,39182.236000000004,BATSE,245.85,BATSE,28.466666666666665,BATSE,17.7,BATSE,4.16,BATSE,0.453,BATSE,39182.236000000004,BATSE,3.4776e-08,BATSE,9.230618368776818e-09,BATSE,,,4.16,0,48456.45349810185,BATSE
6994,6995,GRB920824A*,,39183.1,BATSE,228.6,BATSE,-51.78333333333333,BATSE,0.33,BATSE,,,,,,,,,,,,,,0,48858.453508101855,BATSE
6995,6996,GRB920419A*,,39278.471999999994,BATSE,149.725,BATSE,-18.25,BATSE,6.24,BATSE,27.584,BATSE,8.404,BATSE,39278.471999999994,BATSE,4.3275e-07,BATSE,2.1496482572737336e-08,BATSE,,,27.584,0,48731.45461194444,BATSE
6996,6997,GRB940526B*,,39326.8,BATSE,80.39999999999999,BATSE,-30.383333333333333,BATSE,0.96,BATSE,44.8,BATSE,1.09,BATSE,39327.376000000004,BATSE,2.3853600000000002e-06,BATSE,4.199357182950743e-08,BATSE,,,45.376,0,49498.45517129629,BATSE
6997,6998,GRB950517A*,,39370.368,BATSE,20.825,BATSE,-47.15,BATSE,3.43,BATSE,25.504,BATSE,3.912,BATSE,39370.368,BATSE,,,,,,,25.504,0,49854.45567555555,BATSE
6998,6999,GRB930313A*,,39387.732,BATSE,35.8,BATSE,86.06666666666666,BATSE,2.56,BATSE,42.208,BATSE,3.328,BATSE,39387.732,BATSE,1.2707099999999998e-06,BATSE,4.352990089582102e-08,BATSE,,,42.208,0,49059.455876527776,BATSE
6999,7000,GRB940118A*,,39400.268,BATSE,287.7,BATSE,-63.93333333333333,BATSE,7.56,BATSE,33.216,BATSE,0.792,BATSE,39400.268,BATSE,1.3611000000000002e-07,BATSE,4.917638652849557e-08,BATSE,,,33.216,0,49370.45602162037,BATSE
7000,7001,GRB920408A*,,39425.4,BATSE,154.475,BATSE,-55.46666666666667,BATSE,6.78,BATSE,,,,,,,,,,,,,,0,48720.4563125,BATSE
7001,7002,GRB970904A*,,39425.770000000004,BATSE,95.4,BATSE,-55.36666666666667,BATSE,7.42,BATSE,0.901,BATSE,0.302,BATSE,39425.770000000004,BATSE,1.5263399999999998e-08,BATSE,5.697927541659335e-09,BATSE,,,0.901,0,50695.45631678241,BATSE
7002,7003,GRB920318A*,,39432.648,BATSE,254.50000000000003,BATSE,-26.316666666666666,BATSE,5.31,BATSE,4.096,BATSE,0.373,BATSE,39432.648,BATSE,6.6705e-07,BATSE,2.380703835003422e-08,BATSE,,,4.096,0,48699.45639638889,BATSE
7003,7004,GRB990703A*,,39439.1,BATSE,175.275,BATSE,79.23333333333333,BATSE,1.85,BATSE,26.624,BATSE,8.96,BATSE,39439.227999999996,BATSE,1.1886899999999999e-06,BATSE,4.305185487293201e-08,BATSE,,,26.752,0,51362.45647106481,BATSE
7004,7005,GRB980406A*,,39464.9,BATSE,176.425,BATSE,63.333333333333336,BATSE,7.74,BATSE,,,,,,,,,,,,,,0,50909.456769675926,BATSE
7005,7006,GRB980405A*,,39516.6,BATSE,339.35,BATSE,20.066666666666666,BATSE,6.99,BATSE,,,,,,,,,,,,,,0,50908.457368055555,BATSE
7006,7007,GRB910908A*,,39599.26,BATSE,226.10000000000002,BATSE,-15.533333333333333,BATSE,2.19,BATSE,60.992,BATSE,2.111,BATSE,39599.26,BATSE,1.7951099999999998e-06,BATSE,2.9997387936285386e-08,BATSE,,,60.992,0,48507.458324768515,BATSE
7007,7008,GRB940616B*,,39674.3,BATSE,336.225,BATSE,-15.566666666666666,BATSE,3.91,BATSE,,,,,,,7.95e-07,BATSE,4.248720630966456e-08,BATSE,,,,0,49519.45919328704,BATSE
7008,7009,GRB911016B*,,39694.2,BATSE,300.04999999999995,BATSE,-4.166666666666667,BATSE,0.81,BATSE,158.08,BATSE,1.924,BATSE,39695.416,BATSE,7.8147e-06,BATSE,7.462887314572022e-08,BATSE,,,159.296,0,48545.45942361111,BATSE
7009,7010,GRB930128A*,,39723.9,BATSE,10.825,BATSE,-9.983333333333333,BATSE,7.35,BATSE,,,,,,,,,,,,,,0,49015.45976736111,BATSE
7010,7011,GRB990412A*,,39734.984,BATSE,135.82500000000002,BATSE,-58.3,BATSE,9.79,BATSE,48.064,BATSE,7.516,BATSE,39734.984,BATSE,1.7849700000000001e-07,BATSE,1.619415543552673e-08,BATSE,,,48.064,0,51280.45989564815,BATSE
7011,7012,GRB911224B*,,39777.9,BATSE,45.425,BATSE,-10.783333333333333,BATSE,4.68,BATSE,,,,,,,8.7984e-06,BATSE,1.2118639885317163e-07,BATSE,,,,0,48614.460392361114,BATSE
7012,7013,GRB920218B*,,39791.644,BATSE,140.425,BATSE,52.96666666666667,BATSE,3.29,BATSE,3.456,BATSE,0.968,BATSE,39791.644,BATSE,2.9904e-07,BATSE,1.0858226512649292e-08,BATSE,,,3.456,0,48670.460551435186,BATSE
7013,7014,GRB990728A*,,39824.9,BATSE,209.625,BATSE,-56.833333333333336,BATSE,0.36,BATSE,42.752,BATSE,0.707,BATSE,39829.444,BATSE,1.47318e-05,BATSE,6.396983247594134e-08,BATSE,,,47.296,0,51387.46093634259,BATSE
7014,7015,GRB930104B*,,39827.1,BATSE,312.27500000000003,BATSE,29.116666666666667,BATSE,3.16,BATSE,,,,,,,,,,,,,,0,48991.460961805555,BATSE
7015,7016,GRB920110B*,,39851.373,BATSE,159.875,BATSE,3.2333333333333334,BATSE,4.23,BATSE,0.681,BATSE,0.043,BATSE,39851.373,BATSE,7.070099999999999e-08,BATSE,5.490427854912584e-09,BATSE,,,0.681,0,48631.461242743055,BATSE
