,Unnamed: 0,id,GRB_name,GRB_name_Fermi,T0,T0_source,ra,ra_source,decl,decl_source,pos_error,pos_error_source,T90,T90_source,T90_error,T90_error_source,T90_start,T90_start_source,fluence,fluence_source,fluence_error,fluence_error_source,redshift,redshift_source,T100,GBM_located,mjd,mjd_source,Alpha,Alpha_err_pos,Alpha_err_neg
130,1387,1388,GRB161017A,GRB161017745,64308.808000000005,Fermi_GBM,142.76916666666668,Swift,43.12675,Swift,5.436557020820988e-05,Swift,37.888,Fermi_GBM,10.861,Fermi_GBM,64308.808000000005,Fermi_GBM,4.8642e-06,Fermi_GBM,6.3067e-08,Fermi_GBM,2.013,"GCN_circulars,Other",218.492,0,57678.74431490741,Fermi_GBM,-1.030403,0.1424991,0.1424991
131,1398,1399,GRB161117A,GRB161117066,5731.357,Fermi_GBM,322.0522916666667,Swift,-29.61363888888889,Swift,5.69544068847913e-05,Swift,122.178,Fermi_GBM,0.659,Fermi_GBM,5735.453,Fermi_GBM,3.1218e-05,Fermi_GBM,1.0679e-07,Fermi_GBM,1.549,,130.343,0,57709.06633515046,Fermi_GBM,-0.8111083,0.1804556,0.1804556
132,1401,1402,GRB161129A,GRB161129300,25899.0,"GCN_circulars,Swift Det",316.2275,Swift,32.13486666666667,Swift,7.766510029744268e-05,Swift,36.096,Fermi_GBM,0.724,Fermi_GBM,25905.336,Fermi_GBM,6.5385e-06,Fermi_GBM,4.3002e-08,Fermi_GBM,0.645,,42.432,0,57721.29975694444,"GCN_circulars,Swift Det",-1.036987,0.1441641,0.1441641
133,1418,1419,GRB170113A,GRB170113420,36245.0,"GCN_circulars,Swift Det",61.73275000000001,Swift,-71.94302777777777,Swift,5.69544068847913e-05,Swift,49.152,Fermi_GBM,4.136,Fermi_GBM,36246.014,Fermi_GBM,2.0371e-06,Fermi_GBM,7.9106e-08,Fermi_GBM,1.968,"GCN_circulars,Optical",50.166,0,57766.41950231481,"GCN_circulars,Swift Det",-1.703981,0.7058533,0.7058533
134,1438,1439,GRB170214A,GRB170214649,56065.92,Fermi_LAT,256.34125,Fermi_LAT,-1.8876944,Fermi_LAT,0.000194,Fermi_LAT,122.882,Fermi_GBM,0.724,Fermi_GBM,56079.468,Fermi_GBM,0.00017692,Fermi_GBM,1.2722e-07,Fermi_GBM,2.53,,136.43,0,57798.64891111111,Fermi_LAT,-0.9788365,0.06600303,0.06600303
135,1458,1459,GRB170405A,GRB170405777,67162.886,Fermi_GBM,219.82804166666668,Swift,-25.243166666666667,Swift,5.436557020820988e-05,Swift,78.593,Fermi_GBM,0.572,Fermi_GBM,67170.31,Fermi_GBM,7.3963e-05,Fermi_GBM,6.6154e-08,Fermi_GBM,3.51,,189.814,0,57848.77734821759,Fermi_GBM,-0.7993096,0.06784624,0.06784624
136,1480,1481,GRB170607A,GRB170607971,83879.439,Fermi_GBM,7.365916666666666,Swift,9.243333333333334,Swift,5.436557020820988e-05,Swift,20.928,Fermi_GBM,2.096,Fermi_GBM,83879.439,Fermi_GBM,9.4084e-06,Fermi_GBM,5.8779e-08,Fermi_GBM,0.557,,20.928,0,57911.97082684028,Fermi_GBM,-1.285714,0.1288029,0.1288029
137,1487,1488,GRB170705A,GRB170705115,9947.0,"GCN_circulars,Swift Det",191.70404166666663,Swift,18.30733333333333,Swift,5.824882522308201e-05,Swift,22.781,Fermi_GBM,1.377,Fermi_GBM,9951.036,Fermi_GBM,1.3382e-05,Fermi_GBM,6.3103e-08,Fermi_GBM,2.01,,217.3,0,57939.11512731481,"GCN_circulars,Swift Det",-0.9910936,0.08835638,0.08835638
138,1509,1510,GRB170817A,GRB170817529,45666.283,Fermi_GBM,191.75,IPN,-39.8,IPN,11.666666666666666,IPN,2.048,Fermi_GBM,0.466,Fermi_GBM,45666.283,Fermi_GBM,2.7914e-07,Fermi_GBM,1.7403e-08,Fermi_GBM,0.0093,IPN,2.048,0,57982.52854494213,Fermi_GBM,0.1485882,2.990664,2.990664
139,1520,1521,GRB170903A,GRB170903534,46146.253,Fermi_GBM,254.526,Swift,34.979083333333335,Swift,0.0001812185673606,Swift,25.6,Fermi_GBM,1.493,Fermi_GBM,46146.253,Fermi_GBM,3.4577e-06,Fermi_GBM,2.8792e-08,Fermi_GBM,0.886,,29.947,0,57999.534100150464,Fermi_GBM,-1.311573,0.185316,0.185316
140,1534,1535,GRB171010A,GRB171010792,68450.0,Fermi_LAT,66.74,Fermi_LAT,-10.53,Fermi_LAT,0.2,Fermi_LAT,107.266,Fermi_GBM,0.81,Fermi_GBM,68467.216,Fermi_GBM,0.00063279,Fermi_GBM,9.8525e-08,Fermi_GBM,0.32925,,124.482,0,58036.79224537037,Fermi_LAT,-1.088658,0.02296907,0.02296907
141,1561,1562,GRB171222A,GRB171222684,59099.0,"GCN_circulars,Swift Det",148.27766666666665,Swift,35.62663888888889,Swift,0.0002977162178068,Swift,80.384,Fermi_GBM,4.615,Fermi_GBM,59111.31,Fermi_GBM,3.187e-06,Fermi_GBM,3.7723e-08,Fermi_GBM,2.409,"GCN_circulars,Other",174.8,0,58109.6840162037,"GCN_circulars,Swift Det",-0.3712942,15.62023,15.62023
142,1574,1575,GRB180205A,GRB180205184,15923.601,Fermi_GBM,126.81975,Swift,11.541916666666667,Swift,5.436557020820988e-05,Swift,15.36,Fermi_GBM,1.448,Fermi_GBM,15923.601,Fermi_GBM,2.0606e-06,Fermi_GBM,9.8514e-08,Fermi_GBM,1.409,"GCN_circulars,Optical",21.199,0,58154.1843009375,Fermi_GBM,-0.7653306,1.154061,1.154061
143,1582,1583,GRB180314A,GRB180314030,2599.898,Fermi_GBM,99.26533333333334,Swift,-24.496111111111112,Swift,5.436557020820988e-05,Swift,22.016,Fermi_GBM,0.572,Fermi_GBM,2600.666,Fermi_GBM,1.3308e-05,Fermi_GBM,3.5807e-08,Fermi_GBM,1.445,"GCN_circulars,Optical",62.302,0,58191.03009141204,Fermi_GBM,-0.4038246,0.4583407,0.4583407
144,1624,1625,GRB180620B,GRB180620660,57035.543,Fermi_GBM,357.52125,Swift,-57.96225,Swift,9.708137537180334e-05,Swift,46.721,Fermi_GBM,1.332,Fermi_GBM,57035.543,Fermi_GBM,9.1061e-06,Fermi_GBM,9.341e-08,Fermi_GBM,1.1175,"GCN_circulars,Optical",200.257,0,58289.66013359954,Fermi_GBM,-1.205761,0.713498,0.713498
